stop_id,stop_code,stop_name,stop_lat,stop_lon
764,,Moti Bagh,28.58195,77.174283
288,,Sri Niwas Puri,28.56675,77.253117
840,,Aradhana Enclave,28.574567,77.17855
708,,R.K. Puram Sct. 12,28.571367,77.181783
115,,Gupta Market,28.564833,77.241433
768,,Hayat Hotel,28.5702,77.1857
290,,Andreuj Ganj,28.565967,77.22965
162,,South Extion,28.568367,77.22315
775,,Nauroji Nagar,28.569633000000003,77.195533
226,,AIIMS,28.568983000000006,77.213433
471,,S. J . Hospital,28.5697,77.20438299999998
18,,S. J . Hospital,28.569483,77.20451700000002
678,,AIIMS,28.56915,77.21243299999998
323,,Nauroji Nagar,28.56935,77.19505
610,,South Extion,28.5689,77.2181
317,,Hayat Hotel,28.5698,77.186
745,,Andreuj Ganj,28.565967,77.2306
254,,R.K. Puram Sct. 12,28.5705,77.1826
565,,Gupta Market,28.565133000000003,77.239733
561,,L.P. Nagar,28.5655,77.24565
311,,Moti Bagh,28.581667,77.174083
743,,Sri Niwas Puri,28.5674,77.252883
712,,Nehru Nagar,28.56915,77.253883
399,,Saya Niketan,28.587833000000003,77.170333
65,,Atma Ram Collage,28.590383000000006,77.168467
852,,Bala Shahib Gurudwara,28.5812,77.266
314,,Dhoula Kuan,28.592721,77.163492
594,,S.K.Khan ISBT,28.587117,77.259117
365,,RR Hospital,28.59015,77.15675
73,,Air Force HQ,28.583117,77.145967
600,,Games Vill.,28.606621,77.274337
324,,APS Colony,28.579433,77.145
75,,N.H-8 Xing,28.566367,77.134283
705,,Sams Pur Jangid (Noida Xing),28.615983,77.28535
268,,Mahipal Pur,28.545667,77.123083
887,,Sanjay Jheel Triolk Puri,28.62015,77.2955
33,,Rang Puri,28.542143,77.118347
781,,Vinod Nagar,28.6219,77.300783
231,,Shiv Murti-1,28.535683,77.11255
517,,Khichri Pur,28.6258,77.31205
564,,National Highway X,28.630367,77.316333
266,,Shiv Murti-2,28.534917,77.108283
539,,Gazi Pur Village,28.63225,77.31568299999998
177,,Samalka Xing,28.5378,77.0927
904,,Gazi Pur Depot,28.64195,77.31581700000002
125,,Samalka Village,28.534183,77.090267
397,,Kapashera Xing,28.528867,77.08675
372,,Kapashera Village,28.5235,77.08325
198,,Kapashra Border,28.521848,77.082424
759,,Uttam Nagar Terminal,28.625517,77.066133
871,,A-1 Janakpuri,28.624767,77.06775
710,,Tilak Pul,28.6215,77.07
883,,C-2 Janak Puri,28.616099,77.081447
905,,Desu Colony Janakpuri,28.610011,77.095348
572,,Sagar Pur/Vashisth Park,28.6092,77.1011
500,,D Block Janakpuri,28.611,77.1036
677,,Lajwanti Garden,28.614,77.1062
283,,Shakarpur S.Block,28.6271,77.27946700000003
835,,Janak Setu,28.6107,77.1139
667,,Supply Depot,28.606783,77.123367
91,,Rainy Well,28.628017,77.26095
698,,Kirbi Place,28.6044,77.1273
276,,Delhi Sect.,28.62795,77.25235
17,,ITO -AGCR,28.627883,77.24335
757,,Kabul Line,28.5977,77.1292
422,,Tilak Bridge,28.6253,77.2387
797,,Shastri Bazar,28.5966,77.1347
55,,Mandi House,28.625567,77.233933
482,,St. Martin School,28.596667,77.1454
47,,Firoz Shah Road,28.621,77.2215
826,,Raj Rif Line,28.596167,77.1504
682,,Golf Club,28.592967,77.15848299999998
119,,Krishi Bhawan,28.6169,77.213617
761,,Dhaula Kuan,28.592987,77.162867
336,,Red Cross Road,28.618035,77.210453
98,,Aakashwani Bhawan,28.62065,77.2098
544,,Bapu Dham,28.5992,77.1753
22,,Kendriya Terminal,28.621017,77.205283
769,,Railway Colony,28.600683,77.17805
271,,Talkatora Road,28.6222,77.2031
491,,Bhart Sadhu Samaj,28.6038,77.184
332,,Dr. RML Hospital,28.62246667,77.19665
699,,Palika Kutumb,28.6075,77.1887
285,,Talkatora Garden,28.621483,77.19461700000002
709,,11 Murti,28.61105,77.1907
255,,11 Murti,28.611,77.1908
739,,Talkatora Garden,28.621667,77.19453299999998
245,,Palika Kutumb,28.6078,77.1891
784,,Dr. RML Hospital,28.6226,77.1966
37,,Bhart Sadhu Samaj,28.603917,77.1845
726,,Talkatora Road,28.6226,77.2028
318,,Railway Colony,28.600783000000003,77.1785
475,,Kendriya Terminal,28.6212,77.2053
93,,Bapu Dham,28.5994,77.1758
675,,Gurudwara Bangla Sahib,28.625367,77.209583
308,,Dhaula Kuan,28.592721,77.163492
853,,Patel Chowk,28.6244,77.2112
228,,Golf Club,28.592867,77.158433
550,,Aakashwani Bhawan,28.62045,77.212633
373,,Raj Rif Line,28.5958,77.150933
569,,Krishi Bhawan,28.617467,77.213083
28,,St. Martin School,28.59656667,77.14546667
501,,Firoz Shah Road,28.6208,77.2206
346,,Shastri Bazar,28.5965,77.1358
752,,K.G. Marg Xing,28.6234,77.2266
304,,Kabul Line,28.5978,77.1287
509,,Mandi House,28.625767,77.23433299999998
872,,Tilak Bridge,28.6255,77.2397
244,,Kirbi Place,28.60535,77.126367
215,,Supply Depot,28.606633,77.123233
730,,Delhi Sect.,28.6283,77.2514
382,,Janak Setu,28.6104,77.1138
543,,Rainy Well,28.6283,77.260633
275,,Nangal Rai/Lajwanti Garden,28.6119,77.1094
43,,D Block Janakpuri,28.60785,77.10395
737,,Shakarpur S.Block,28.627433,77.27928299999998
121,,Sagar Pur/Vashisth Park,28.6091,77.0996
452,,Desu Colony Janakpuri,28.609871,77.095047
432,,C-2 Janak Puri,28.61574,77.081582
256,,Tilak Pul,28.6213,77.07
421,,A-1 Janakpuri,28.624233,77.067867
306,,Uttam Nagar Terminal,28.625329,77.066948
880,,Mahrajpur Check Post,28.64195,77.31581700000002
494,,Anand Vihar ISBT Main Road,28.645868,77.315375
676,,A-1 Jank Puri,28.624767,77.06775
762,,Jeevan Park,28.62,77.0733
817,,Jank Puri C 1,28.6182,77.077017
689,,Dabari Xing,28.613374,77.087756
322,,Balco Appt.,28.62985,77.306917
516,,Janak Cinema,28.610936,77.093097
342,,Vijay Laxmi Appt.,28.6289,77.309017
681,,DESU Colony,28.610011,77.095348
64,,Parivar Appt.,28.626417,77.3091
567,,Sagar Pur,28.6092,77.1011
89,,Rash Vihar,28.6253,77.3057
621,,D. Block Jank Puri,28.611,77.1036
78,,Press Appt.,28.62285,77.2983
374,,Dharma Appt.,28.6199,77.29005
844,,Kribi Place,28.6044,77.1273
259,,Shakar Pur School Block,28.6271,77.27946700000003
67,,Laxmi Nagar,28.629233000000006,77.27735
632,,RR Line,28.596167,77.1504
766,,Dhoula Kuan,28.592987,77.162867
861,,Sardar Patel Marg,28.5972,77.1714
2,,ITO AGCR,28.627883,77.24335
819,,Bharat Sadhu Samaj,28.6038,77.184
405,,Firozshah Road,28.621,77.2215
557,,RML Hospital,28.6226,77.1966
7,,Krish Bhawan,28.6169,77.213617
836,,Kend. Terminal,28.6212,77.2053
148,,AkashVani Bhawan,28.62065,77.2098
615,,Bangla Shahib,28.625367,77.209583
166,,Bangla Shahib,28.6209,77.2073
672,,Akash Vani Bhawan,28.62045,77.212633
383,,Kend. Terminal,28.621017,77.205283
460,,Krish Bhawan,28.617467,77.213083
107,,RML Hospital,28.62246667,77.19665
696,,Firozshah,28.6208,77.2206
216,,Palika Kutum,28.6078,77.1891
412,,Sardar Patel Marg,28.597,77.1713
183,,RR Line,28.5958,77.150933
713,,Shakar Pur School Block,28.627433,77.27928299999998
